City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,babino,56.2256,43.6238,272.14,46,0,7.15,RU,1681442934
181,pisco,-13.7,-76.2167,297.18,73,0,4.63,PE,1681442335
182,rio grande,-32.035,-52.0986,289.7,65,10,4.66,BR,1681442678
183,sarakhs,36.5449,61.1577,295.61,34,99,5.76,IR,1681442935
184,coos bay,43.3665,-124.2179,281.14,81,0,2.06,US,1681442449
185,chumikan,54.7183,135.315,271.57,83,100,2.15,RU,1681442782
186,saint-joseph,-21.3667,55.6167,297.86,83,99,0.28,RE,1681442378
187,martapura,-3.4167,114.85,304.2,70,40,1.54,ID,1681442937
188,severo-kurilsk,50.6789,156.125,274.46,95,67,5.01,RU,1681442937
189,arkul,57.2808,50.044,269.51,66,59,7.28,RU,1681442937
190,stephenville,32.2207,-98.2023,293.59,59,0,4.12,US,1681442938
191,novobiryusinskiy,56.9578,97.7076,277.24,74,95,4.99,RU,1681442939
192,mount gambier,-37.8333,140.7667,295.01,50,24,5.27,AU,1681442939
193,antigonish,45.6169,-61.9986,284.25,55,87,1.79,CA,1681442940
194,catamarca,-28.4696,-65.7852,289.59,98,97,1.34,AR,1681442940
195,komsomolskiy,40.4272,71.7189,293.55,52,8,1.03,UZ,1681442941
196,asfi,32.2994,-9.2372,286.54,70,1,7.93,MA,1681442941
197,singaraja,-8.112,115.0882,302.64,69,100,1.4,ID,1681442942
198,vila velha,-20.3297,-40.2925,298.12,95,20,3.09,BR,1681442502
199,kattivakkam,13.2167,80.3167,303.2,88,4,5.67,IN,1681442737
200,san quintin,30.4833,-115.95,286.14,65,38,5.88,MX,1681442944
201,jiangkou,25.4872,119.1986,296.85,75,30,3.32,CN,1681442946
202,vysokogornyy,50.1167,139.15,269.24,71,100,5.65,RU,1681442947
203,yuanping,38.7153,112.7575,288.31,14,100,4.62,CN,1681442948
204,natal,-5.795,-35.2094,298.27,88,40,1.54,BR,1681442927
205,mehamn,71.0357,27.8492,274.12,60,0,7.2,NO,1681442949
206,sorland,67.667,12.6934,278.07,72,11,10.52,NO,1681442546
207,maragogi,-9.0122,-35.2225,297.32,75,59,0.83,BR,1681442951
208,gat,31.61,34.7642,285.04,100,0,1.66,IL,1681442358
209,sitka,57.0531,-135.33,279.09,70,100,2.57,US,1681442952
210,birjand,32.8663,59.2211,290.41,34,0,2.06,IR,1681442953
211,saint-augustin,51.226,-58.6502,275.48,96,100,4.26,CA,1681442372
212,bisalpur,28.3,79.8,305.59,13,99,2.93,IN,1681442954
213,saint-philippe,-21.3585,55.7679,298.21,84,95,0.51,RE,1681442955
214,margate,51.3813,1.3862,278.54,84,85,0.89,GB,1681442745
215,albina,5.5,-54.05,296.72,95,74,0.94,SR,1681442957
216,hithadhoo,-0.6,73.0833,301.86,69,59,3.12,MV,1681442957
217,bonthe,7.5264,-12.505,298.9,85,62,2.13,SL,1681442799
218,ilulissat,69.2167,-51.1,269.16,100,100,1.54,GL,1681442959
219,longyearbyen,78.2186,15.6401,272.06,80,75,3.6,SJ,1681442960
220,yellowknife,62.456,-114.3525,269.44,74,75,5.14,CA,1681442961
221,msanga,-6.05,36.0333,291.59,97,99,1.75,TZ,1681442961
222,lagoa,39.05,-27.9833,289.11,84,66,4.59,PT,1681442962
223,bengkulu,-3.8004,102.2655,301.79,68,40,1.81,ID,1681442962
224,hofn,64.2539,-15.2082,278.11,74,99,5.07,IS,1681442761
225,tabuk,17.4189,121.4443,304.76,58,94,4.17,PH,1681442963
226,otane,-39.8833,176.6333,290.93,84,98,2.87,NZ,1681442964
227,sioux lookout,50.1001,-91.917,276.19,93,100,3.6,CA,1681442378
228,flinders,-34.5833,150.8552,293.81,79,45,1.34,AU,1681442965
229,salinopolis,-0.6136,-47.3561,299.37,86,71,3.41,BR,1681442920
230,nukus,42.4531,59.6103,291.14,55,0,3.09,UZ,1681442966
231,port macquarie,-31.4333,152.9167,298.09,64,14,6.17,AU,1681442433
232,gararu,-9.9675,-37.0833,295.36,87,65,1.56,BR,1681442967
233,aden,12.7794,45.0367,300.97,82,10,8.6,YE,1681442420
234,huangmei,30.1924,116.025,298.42,70,81,1.87,CN,1681442968
235,moose factory,51.2585,-80.6094,272.15,80,100,3.09,CA,1681442968
236,ketchikan,55.3422,-131.6461,279.41,81,100,0.0,US,1681442969
237,inongo,-1.95,18.2667,296.06,89,43,1.37,CD,1681442969
238,ambulu,-8.345,113.6058,300.78,81,100,2.61,ID,1681442381
239,ravar,31.2656,56.8055,294.39,37,65,6.14,IR,1681442971
240,kyra,49.5776,111.9753,273.88,41,100,2.71,RU,1681442972
241,clyde river,70.4692,-68.5914,256.28,71,0,6.69,CA,1681442972
242,ambon,-3.6954,128.1814,305.23,70,40,2.57,ID,1681442973
243,mahebourg,-20.4081,57.7,298.29,83,20,1.54,MU,1681442974
244,katsuura,35.1333,140.3,291.53,71,100,8.41,JP,1681442974
245,torva,58.0028,25.935,280.34,78,100,4.52,EE,1681442975
246,tiksi,71.6872,128.8694,266.86,81,100,1.67,RU,1681442975
247,mareeba,-17.0,145.4333,306.73,51,84,2.28,AU,1681442976
248,antofagasta,-23.65,-70.4,290.75,83,47,2.55,CL,1681442432
249,oistins,13.0667,-59.5333,299.2,73,40,6.17,BB,1681442977
250,vao,-22.6667,167.4833,296.99,90,100,6.53,NC,1681442755
251,tagusao,9.1924,117.8141,302.6,65,89,1.91,PH,1681442978
252,meadow lake,34.8014,-106.5436,292.66,17,84,8.37,US,1681442978
253,keti bandar,24.1447,67.4497,299.89,73,0,5.9,PK,1681442978
254,fiumicino,41.7675,12.2291,285.21,76,20,3.09,IT,1681442816
255,magdagachi,53.45,125.8,276.71,55,91,3.09,RU,1681442979
256,pangai,-19.8,-174.35,302.21,70,20,6.17,TO,1681442980
257,torbay,47.6666,-52.7314,273.8,93,40,4.63,CA,1681442980
258,saint anthony,45.0205,-93.218,297.11,28,0,5.66,US,1681442441
259,alyangula,-13.8483,136.4192,302.59,70,65,3.24,AU,1681442706
260,ancud,-41.8697,-73.8203,282.69,80,100,1.7,CL,1681442982
261,mangrol,21.1167,70.1167,300.84,61,0,6.34,IN,1681442982
262,kaitangata,-46.2817,169.8464,289.22,70,48,6.19,NZ,1681442982
263,amapa,1.0,-52.0,295.93,99,100,0.57,BR,1681442455
264,bay roberts,47.5999,-53.2648,274.22,94,100,0.45,CA,1681442756
265,dudinka,69.4058,86.1778,248.49,96,38,3.53,RU,1681442984
266,lieksa,63.3167,30.0167,265.01,90,13,3.56,FI,1681442984
267,canoa,18.355,-71.1585,298.07,82,55,2.04,DO,1681442985
268,egvekinot,66.3167,-179.1667,257.04,75,3,3.35,RU,1681442549
269,talaya,61.3833,152.75,262.97,70,43,1.36,RU,1681442986
270,pevek,69.7008,170.3133,257.53,86,99,1.5,RU,1681442986
271,broome,42.2506,-75.833,292.03,65,26,1.01,US,1681442987
272,shimoda,34.6667,138.95,293.35,52,100,5.41,JP,1681442987
273,shiraz,29.6036,52.5388,287.84,63,20,0.0,IR,1681442987
274,yumen,40.2833,97.2,286.09,23,41,9.2,CN,1681442988
275,daru,-9.0763,143.2092,302.62,66,98,2.21,PG,1681442553
276,jaumave,23.4167,-99.3833,292.9,91,34,1.69,MX,1681442989
277,olafsvik,64.8945,-23.7142,277.41,71,96,2.88,IS,1681442989
278,sangar,63.9242,127.4739,271.8,90,90,3.43,RU,1681442989
279,acarau,-2.8856,-40.12,298.25,86,98,4.42,BR,1681442990
280,pangody,65.85,74.4859,255.72,93,80,7.24,RU,1681442498
281,hambantota,6.1241,81.1185,302.34,94,20,1.03,LK,1681442991
282,kovur,14.4833,79.9833,305.68,32,63,5.09,IN,1681442991
283,nioro,13.35,-15.75,300.87,41,73,3.51,GM,1681442991
284,valdivia,-39.8142,-73.2459,282.2,79,93,0.51,CL,1681442847
285,pacific grove,36.6177,-121.9166,285.76,79,40,7.15,US,1681442520
286,yaan,7.3833,8.5667,300.34,72,9,3.73,NG,1681442993
287,ozernovskiy,51.5,156.5167,274.98,94,98,6.35,RU,1681442993
288,sept-iles,50.2001,-66.3821,278.15,57,100,2.06,CA,1681442993
289,tieling,42.2931,123.8414,291.13,12,23,2.38,CN,1681442994
290,havelock,34.8791,-76.9013,294.14,90,0,1.54,US,1681442994
291,guerrero negro,27.9769,-114.0611,287.29,72,0,6.8,MX,1681442995
292,cabanas,22.9758,-82.9219,297.01,79,12,1.19,CU,1681442995
293,korla,41.7597,86.1469,287.51,28,66,3.46,CN,1681442526
294,okitipupa,6.5047,4.7839,298.1,95,92,1.11,NG,1681442996
295,omboue,-1.5746,9.2618,298.24,92,100,1.97,GA,1681442997
296,anchorage,61.2181,-149.9003,276.0,80,100,4.63,US,1681442700
297,ternate,0.8,127.4,302.77,70,12,2.22,ID,1681442701
298,opuwo,-18.0607,13.84,292.69,37,24,2.07,NA,1681442998
299,kyabe,9.4515,18.9449,299.91,58,73,1.99,TD,1681442999
300,miri,4.4148,114.0089,304.23,70,40,3.09,MY,1681442999
301,itiuba,-10.6917,-39.8536,296.3,82,97,2.12,BR,1681443000
302,avera,33.194,-82.5271,291.14,96,97,4.35,US,1681443000
303,harper,4.375,-7.7169,299.82,86,80,1.6,LR,1681443001
304,bubaque,11.2833,-15.8333,298.21,75,75,6.02,GW,1681443005
305,rio gallegos,-51.6226,-69.2181,278.18,87,0,7.72,AR,1681443007
306,puerto escondido,15.85,-97.0667,301.61,69,0,2.57,MX,1681442484
307,suez,29.9737,32.5263,288.97,68,41,1.35,EG,1681443008
308,isangel,-19.55,169.2667,301.49,75,100,4.31,VU,1681442775
309,rivera,-30.9053,-55.5508,283.71,65,0,2.97,UY,1681443011
310,ocos,14.5094,-92.1933,299.25,66,100,2.65,GT,1681443011
311,launceston,-41.45,147.1667,291.01,55,100,1.54,AU,1681442562
312,san policarpo,12.1791,125.5072,302.22,70,46,4.67,PH,1681443012
313,sayan,-11.1361,-77.1933,295.5,83,98,1.09,PE,1681443013
314,chapais,49.7834,-74.8492,275.03,92,100,3.98,CA,1681443014
315,nemuro,43.3236,145.575,279.78,77,11,5.01,JP,1681443015
316,miram shah,33.0086,70.0697,300.02,21,0,1.09,PK,1681443015
317,vredendal,-31.6683,18.5012,287.3,80,0,3.5,ZA,1681443016
318,bogorodskoye,56.55,37.8833,271.97,60,29,6.53,RU,1681443016
319,palmer,42.1584,-72.3287,295.19,60,0,1.54,US,1681443017
320,ukhta,63.5671,53.6835,262.81,86,24,2.37,RU,1681443018
321,kamina,-8.7386,24.9906,290.0,96,100,1.47,CD,1681443018
322,bulawayo,-20.15,28.5833,287.05,36,21,1.12,ZW,1681443019
323,semme,46.1963,1.5007,276.38,99,100,2.73,FR,1681443019
324,arman,59.7,150.1667,272.05,65,100,4.22,RU,1681443020
325,saky,45.1356,33.6031,283.4,85,100,4.47,UA,1681443021
